id,domain_id,number,title,main_group,sub_group,visual_type,visual_link,visual_description,next_step,show_map,last_step,map_from_previous_link,enable_skip,skip_to_step,map_from_beginning_link,value_type,value_hint,unit,default_value,default_from_value,default_to_value,report_description
1,1,,WELCOME,GENERAL CHECKUP,SAFETY ITEMS,IMAGE,1_generator_room,Welcome to the generator room. You are going to inspect the generator room now. ,2,0,0,,0,,,NONE,,,,,,
2,1,,SAFETY - EAR PROTECTION,GENERAL CHECKUP,SAFETY ITEMS,IMAGE,2_ear_protection,Please wear ear protection device before you go inside the generator room.,3,1,0,2_safety_ear_protection,0,,,NONE,,,,,,
3,1,,SAFETY - HELMET WITH LIGHT,GENERAL CHECKUP,SAFETY ITEMS,IMAGE,3_helmet_with_light,Please wear a safety helmet with light before enter the generator room.,4,0,0,,0,,,NONE,,,,,,
4,1,,SAFETY - SWITCH ON LIGHT,GENERAL CHECKUP,SAFETY ITEMS,IMAGE,4_switch_on_light,Please switch on  helmet light.,5,0,0,,0,,,NONE,,,,,,
5,1,,SYNCHRONIZE PANEL,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,5_synchronizing_panel,Now you are about to inspect the synchronize panel. Be sure you are currently placed in front of the synchronize panel.,6,1,0,5_synchronizing_panel,1,21,,NONE,,,,,,
6,1,,SYNC. PANEL - EMERGENCY SWITCH,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,6_emergency_switch,Check whether emergency switch of synchronize panel is working.,7,0,0,,0,,,BOOLEAN,,,,,,Emergency Switch
7,1,,SYNC. PANEL - SYS. CONTROL SWITCH,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,7_system_control_switch,Check system control switch,8,0,0,,0,,,BOOLEAN,,,,,,System Control Switch
8,1,,SYNC. PANEL - LOAD DEMAND SWITCH,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,8_load_demand_switch,Check load demand switch,9,0,0,,0,,,BOOLEAN,,,,,,Load Demant Switch
9,1,,SYNC. PANEL - LOAD DEMAND DROPOUT,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,9_load_demand_dropout,Check demand dropout,10,0,0,,0,,,DECIMAL,,,80,,,Load Demand Dropout
10,1,,SYNC. PANEL - LOAD DEMAND PICKUP,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,10_load_demand_pickup,Check demand pickup,11,0,0,,0,,,DECIMAL,,,75,,,Load Demand Pickup
11,1,,SYNC. PANEL - LOAD UNIT SELECTION,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,11_load_unit_selection,Check load unit selection,12,0,0,,0,,,DECIMAL,,,9,,,Load Unit Selection
12,1,,SYNC. PANEL - EARTH FAULT RELAY 01,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,12_earth_fault_relay_1,Check Earth Fault Relay 1,13,0,0,,0,,,BOOLEAN,,,,,,Earth Fault Relay 1
13,1,,SYNC. PANEL - EARTH FAULT RELAY 02,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,13_earth_fault_relay_2,Check Earth Fault Relay 2,14,0,0,,0,,,BOOLEAN,,,,,,Earth Fault Relay 2
14,1,,SYNC. PANEL - EARTH FAULT RELAY 03,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,14_earth_fault_relay_3,Check Earth Fault Relay 3,15,0,0,,0,,,BOOLEAN,,,,,,Earth Fault Relay 3
15,1,,SYNC. PANEL - POWER COMMAND PANEL,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,15_power_command_panel,Check Power Command Panel,16,0,0,,0,,,BOOLEAN,,,,,,Power Command Panel
16,1,,SYNC. PANEL - ANALYSER READING,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,16_analyser_reading,Check Analyzer Reading,17,0,0,,0,,,BOOLEAN,,,,,,Analyzer Reading
17,1,,SYNC. PANEL - INDICATOR LIGHT 01,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,17_indicator_light_1,Check Indicator Lights (RED/YELLOW/BLUE) Lighting and report whethe lights are OK or NOT OK.,18,0,0,,0,,,BOOLEAN,,,,,,Indicator Light 01
18,1,,SYNC. PANEL - INDICATOR LIGHT 02,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,18_indicator_light_2,Check Indicator Lights (RED/YELLOW/BLUE) Lighting and report whethe lights are OK or NOT OK.,19,0,0,,0,,,BOOLEAN,,,,,,Indicator Light 02
19,1,,SYNC. PANEL - INDICATOR LIGHT 03,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,19_indicator_light_3,Check Indicator Lights (RED/YELLOW/BLUE) Lighting and report whethe lights are OK or NOT OK.,20,0,0,,0,,,BOOLEAN,,,,,,Indicator Light 03
20,1,,SYNC. PANEL - MOTORISED BREAKER,GENERAL CHECKUP,SYNCHRONIZE PANEL,IMAGE,18_motorised_breaker_position,Check Motorized Breaker Position,21,0,0,,0,,,BOOLEAN,,,,,,Motorized Breaker Position
21,1,,GENERATOR 01 - OFF MODE,GENERATOR 01,OFF MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 01 in off mode. Be sure you are currently placed in front of the Generator 01.,22,1,0,19_generator_01_off_mode,1,31,,NONE,,,,,,
22,1,,GEN. 01 - PANEL BOARD,GENERATOR 01,OFF MODE,IMAGE,20_generator_01_panel_board,Check generator 01 control panel switch and report whether control panel switch is OK or NOT OK.,23,0,0,,0,,,BOOLEAN,,,,,,Control panel switch off
23,1,,GEN. 01 - BATTERY PACK,GENERATOR 01,OFF MODE,IMAGE,21_generator_01_battery_pack,Check generator 01 battery water level and report whether water level is OK or NOT OK.,24,1,0,21_generator_01_battery_pack,0,,,BOOLEAN,,,,,,Battery water level
24,1,,GEN. 01 - ENGINE OIL LEAKS,GENERATOR 01,OFF MODE,IMAGE,22_generator_01_oil_leaks,Check generator 01 body for oil leaks and report OK if oil leaks not available and NOT OK if oil leaks available.,25,0,0,,0,,,BOOLEAN,,,,,,Engine oil leaks (visual inspection)
25,1,,GEN. 01 - ALTERNATOR BELT TENSION,GENERATOR 01,OFF MODE,IMAGE,23_generator_01_alternator,Check generator 01 alternator for it's belt tension and report whether belt tension is OK or NOT OK.,26,0,0,,0,,,BOOLEAN,,,,,,Alternator belt tension/condition
26,1,,GEN. 01 - ENGINE OIL LEVEL,GENERATOR 01,OFF MODE,VIDEO,24_generator_01_engine_oil_level,Check Generator 01 engine oil level and report oil level is OK or NOT OK.,27,1,0,24_generator_01_engine_oil_level,0,,,BOOLEAN,,,,,,Engine oil level
27,1,,GEN. 01 - AIR FILTER INDICATOR,GENERATOR 01,OFF MODE,IMAGE,25_generator_01_air_filter,Check Generator 01 air filter and report air filter is OK or NOT OK.,28,0,0,,0,,,BOOLEAN,,,,,,Air filter condition
28,1,,GEN. 01 - RADIATOR FAN TENSION,GENERATOR 01,OFF MODE,VIDEO,26_generator_01_radiator_fan_tension,Check Generator 01 radiator for fan tension and report whether fan tension is OK or NOT OK.,29,0,0,,0,,,BOOLEAN,,,,,,Radiator fan tension/condition
29,1,,GEN. 01 - RADIATOR COOLEANT,GENERATOR 01,OFF MODE,VIDEO,28_generator_01_radiator_coolent_level,Check Generator 01 radiator coolant level and report whether coolant level is OK or NOT OK.,30,0,0,,0,,,BOOLEAN,,,,,,Radiator cooleant level
30,1,,GEN. 01 - BATTERY VOLTAGE,GENERATOR 01,OFF MODE,VIDEO,29_generator_01_battery_voltage,Check Generator 01 battery voltage and report battery voltage value.,31,1,0,29_generator_01_battery_voltage,0,,,DECIMAL,,V,,24,27,Battery voltage
31,1,,GENERATOR 02 - OFF MODE,GENERATOR 02,OFF MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 02 in off mode. Be sure you are currently placed in front of the Generator 02.,32,1,0,30_generator_02_off_mode,1,41,,NONE,,,,,,
32,1,,GEN. 02 - PANEL BOARD,GENERATOR 02,OFF MODE,IMAGE,20_generator_01_panel_board,Check generator 02 control panel switch and report whether control panel switch is OK or NOT OK.,33,0,0,,0,,,BOOLEAN,,,,,,Control panel switch off
33,1,,GEN. 02 - BATTERY PACK,GENERATOR 02,OFF MODE,IMAGE,21_generator_01_battery_pack,Check generator 02 battery water level and report whether water level is OK or NOT OK.,34,1,0,32_generator_02_battery_pack,0,,,BOOLEAN,,,,,,Battery water level
34,1,,GEN. 02 - ENGINE OIL LEAKS,GENERATOR 02,OFF MODE,IMAGE,22_generator_01_oil_leaks,Check generator 02 body for oil leaks and report OK if oil leaks not available and NOT OK if oil leaks available.,35,0,0,,0,,,BOOLEAN,,,,,,Engine oil leaks (visual inspection)
35,1,,GEN. 02 - ALTERNATOR BELT TENSION,GENERATOR 02,OFF MODE,IMAGE,23_generator_01_alternator,Check generator 02 alternator for it's belt tension and report whether belt tension is OK or NOT OK.,36,0,0,,0,,,BOOLEAN,,,,,,Alternator belt tension/condition
36,1,,GEN. 02 - ENGINE OIL LEVEL,GENERATOR 02,OFF MODE,VIDEO,24_generator_01_engine_oil_level,Check Generator 02 engine oil level and report oil level is OK or NOT OK.,37,1,0,35_generator_02_engine_oil_level,0,,,BOOLEAN,,,,,,Engine oil level
37,1,,GEN. 02 - AIR FILTER INDICATOR,GENERATOR 02,OFF MODE,IMAGE,25_generator_01_air_filter,Check Generator 02 air filter and report air filter is OK or NOT OK.,38,0,0,,0,,,BOOLEAN,,,,,,Air filter condition
38,1,,GEN. 02 - RADIATOR FAN TENSION,GENERATOR 02,OFF MODE,VIDEO,26_generator_01_radiator_fan_tension,Check Generator 02 radiator for fan tension and report whether fan tension is OK or NOT OK.,39,0,0,,0,,,BOOLEAN,,,,,,Radiator fan tension/condition
39,1,,GEN. 02 - RADIATOR COOLEANT,GENERATOR 02,OFF MODE,VIDEO,28_generator_01_radiator_coolent_level,Check Generator 02 radiator coolant level and report whether coolant level is OK or NOT OK.,40,0,0,,0,,,BOOLEAN,,,,,,Radiator cooleant level
40,1,,GEN. 02 - BATTERY VOLTAGE,GENERATOR 02,OFF MODE,VIDEO,29_generator_01_battery_voltage,Check Generator 02 battery voltage and report battery voltage value.,41,1,0,40_generator_02_battery_voltage,0,,,DECIMAL,,V,,24,27,Battery voltage
41,1,,GENERATOR 03 - OFF MODE,GENERATOR 03,OFF MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 03 in off mode. Be sure you are currently placed in front of the Generator 03.,42,1,0,41_generator_03_off_mode,1,51,,NONE,,,,,,
